timestamp,chapter,percent,color,quote,note
"December 12, 2020 18:11",20 september,98.4%,#FFB,lärft
"December 12, 2020 18:10",20 september,98.0%,#FFB,muslinsgardinen
"December 12, 2020 18:02",4 september,95.5%,#FFB,obrottslig vänskap,Vi stryker detta och låtsas som det aldrig hänt. 
"December 09, 2020 22:20",14 juli,42.4%,#FFB,tvagen
"December 04, 2020 14:15",5 juli,32.2%,#FFB,försumlighet
"December 04, 2020 14:14",5 juli,31.8%,#FFB,corpus delicti
"December 04, 2020 14:14",5 juli,31.8%,#FFB,boddonjuan
"December 04, 2020 14:11",5 juli,31.0%,#FFB,täck
"December 04, 2020 14:11",5 juli,31.0%,#FFB,ogunst
"December 04, 2020 14:11",5 juli,31.0%,#DFC,smorde kråset
"December 04, 2020 14:11",5 juli,31.0%,#FFB,pappenheimare
"December 04, 2020 14:10",5 juli,30.6%,#FFB,Chablis
"December 04, 2020 14:10",5 juli,30.6%,#FFB,ensittarens
"December 04, 2020 14:08",5 juli,30.2%,#FFB,mariga
"November 30, 2020 07:03",15 juni,5.7%,#FFB,trollguldet
"November 30, 2020 06:40",12 juni,1.2%,#FFB,götiska
"November 30, 2020 06:40",12 juni,1.2%,#FFB,vämjelse,"äckel, illamående, avsky, motvilja, olust, avsmak
"
